,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year,league
5870,DORTMUND,Nï¿½ï¿½RNBERG,7-0,2-0,6.7,9.8,3.4,73,27,4,10,19,5,4,20,93,4,16,6,0,0,0,1,1,4,2,5,15,79,3,15,10,2,0,0,7,0,0,7,2018,german
5888,FRANKFURT,Dï¿½ï¿½SSELDORF,01-Jul,3-0,7.4,9.1,3.5,54,46,6,13,21,2,5,12,83,21,13,14,0,0,0,4,4,9,1,1,15,80,15,22,13,2,0,0,7,1,1,7,2018,german
6760,INTER,SASSUOLO,7-0,4-0,7,10,3.6,62,38,6,11,22,5,6,17,85,12,11,16,0,0,0,9,2,13,2,1,20,78,16,21,12,1,0,1,7,0,0,7,2014,italian
6848,JUVENTUS,PARMA,7-0,3-0,6.8,10,3.4,68,32,10,11,21,0,5,32,91,3,7,3,0,0,0,2,1,4,1,0,14,81,4,21,11,1,0,0,7,0,0,7,2014,italian
7777,INTER,ATALANTA,07-Jan,05-Jan,6.2,9,3.6,49,51,4,8,13,1,6,20,77,8,22,19,3,0,0,4,3,10,3,7,15,79,6,17,16,4,0,0,7,1,1,7,2016,italian
7845,LAZIO,SAMPDORIA,07-Mar,05-Jan,9.4,8.1,3.9,51,49,6,11,19,2,11,12,86,5,6,13,0,0,0,1,7,8,0,2,11,85,2,27,6,1,0,1,7,3,3,7,2016,italian
8109,JUVENTUS,SASSUOLO,7-0,4-0,6.3,9.9,3.3,62,38,6,10,17,1,5,17,89,8,17,8,0,0,0,3,1,5,1,1,18,81,5,13,8,2,0,0,7,0,0,7,2017,italian
8728,ATALANTA,UDINESE,07-Jan,03-Jan,7.7,9.3,3.1,62,38,8,13,24,3,6,20,87,6,5,10,2,0,0,2,3,7,2,2,9,78,10,19,6,2,1,0,7,1,1,7,2019,italian
9781,REAL MADRID,GETAFE,03-Jul,03-Mar,9.7,8.4,4.2,54,46,5,11,18,2,8,13,88,8,15,12,2,0,0,7,6,14,1,7,13,86,6,15,13,3,0,0,7,3,3,7,2014,spanish
10052,REAL MADRID,CELTA,01-Jul,1-0,7.6,9.6,3.8,56,44,3,12,20,5,10,15,85,8,6,13,2,0,0,2,3,8,3,5,13,81,9,21,12,3,0,0,7,1,1,7,2015,spanish
10235,ATLETICO MADRID,GRANADA,01-Jul,01-Feb,7.4,9.2,4.1,66,34,3,11,17,3,11,36,87,7,9,14,1,0,0,5,2,9,2,3,14,76,11,35,7,1,0,0,7,1,1,7,2016,spanish
10495,BARCELONA,OSASUNA,01-Jul,2-0,6.7,9.5,4,77,23,4,9,19,6,10,22,90,8,4,3,0,0,0,1,2,3,0,1,14,70,9,37,7,0,0,0,7,1,1,7,2016,spanish
10738,REAL MADRID,DEPORTIVO,01-Jul,01-Feb,7.5,9.2,3.6,62,38,8,14,24,2,6,25,89,8,6,7,0,0,0,3,3,6,0,1,15,81,10,31,11,2,0,0,7,1,1,7,2017,spanish
357,MAN CITY,QPR,6-0,2-0,7.1,9.7,3.6,59,41,9,11,23,3,7,15,80,20,31,12,0,0,0,5,3,9,1,4,26,72,18,17,7,1,0,0,6,0,0,6,2014,english
360,SOUTHAMPTON,ASTON VILLA,01-Jun,01-May,6.8,9.3,4.1,36,64,4,11,18,3,6,16,75,14,29,19,1,0,0,4,4,9,1,3,19,85,15,25,7,1,0,0,6,1,1,6,2014,english
372,STOKE,LIVERPOOL,01-Jun,5-0,7.2,9.3,3.7,45,55,3,9,15,3,3,21,81,14,23,13,4,0,0,5,4,13,4,9,21,82,17,17,4,2,0,0,6,1,1,6,2014,english
452,MAN CITY,NEWCASTLE,01-Jun,01-Jan,7,8.7,4.4,64,36,8,11,23,4,6,20,84,6,13,13,3,0,0,1,4,6,1,3,13,75,8,23,8,1,0,0,6,1,1,6,2015,english
468,NEWCASTLE,NORWICH,02-Jun,02-Mar,8.2,7.9,4.8,44,56,2,6,11,3,3,16,76,16,18,10,1,0,0,6,6,18,6,7,20,81,23,24,10,1,0,0,6,2,2,6,2015,english
487,EVERTON,SUNDERLAND,02-Jun,01-Feb,8.2,7.1,4.6,67,33,5,8,15,2,6,17,90,12,21,6,3,0,0,3,9,17,5,1,17,78,13,26,5,2,0,0,6,2,2,6,2015,english
831,BOURNEMOUTH,HULL CITY,01-Jun,01-Mar,7.8,9.1,4.2,49,51,5,10,22,7,5,10,88,13,34,8,0,0,0,6,4,11,1,4,13,82,8,17,14,3,0,0,6,1,1,6,2016,english
867,LIVERPOOL,WATFORD,01-Jun,3-0,8.3,8.5,4.2,60,40,9,17,28,2,6,21,79,14,16,14,1,0,0,2,8,11,1,3,17,69,19,19,10,2,0,0,6,1,1,6,2016,english
991,EVERTON,BOURNEMOUTH,03-Jun,3-0,10,7.4,5.3,46,54,2,10,15,3,4,15,82,11,33,14,3,0,0,8,8,18,2,8,21,86,10,21,4,1,0,0,6,3,3,6,2016,english
1536,MAN CITY,HUDDERSFIELD,01-Jun,01-Mar,7.9,9.4,3.5,77,23,9,14,32,9,10,15,93,17,24,9,0,0,0,2,1,5,2,3,11,65,19,29,4,2,0,0,6,1,1,6,2018,english
1627,MAN CITY,SOUTHAMPTON,01-Jun,01-Apr,7.4,8.5,4.5,67,33,5,8,18,5,4,9,91,16,17,14,1,0,0,5,6,13,2,4,18,79,11,19,9,1,0,0,6,1,1,6,2018,english
1778,MAN CITY,CHELSEA,6-0,4-0,6.9,9.3,4.1,56,44,5,9,15,1,2,13,93,10,22,9,1,0,0,3,4,12,5,2,12,88,3,11,13,2,0,0,6,0,0,6,2018,english
2416,MAN UTD,LEEDS UTD,02-Jun,01-Apr,8.6,8.6,4.2,41,59,6,14,26,6,11,15,77,17,30,6,1,0,0,7,3,17,7,13,22,83,17,12,6,0,0,0,6,2,2,6,2020,english
2672,STADE RENNAIS,THONON ï¿½ï¿½VIAN,02-Jun,01-Mar,7,7.6,4.4,55,45,9,7,9,2,6,20,84,9,17,4,0,0,0,5,3,9,1,1,25,81,7,11,12,1,0,0,6,2,2,6,2014,french
2987,PSG,LILLE,01-Jun,4-0,6,9,4.2,54,46,3,7,11,1,1,14,90,6,12,22,1,0,0,5,1,9,3,7,15,88,4,4,9,3,0,1,6,1,1,6,2014,french
3006,PSG,GUINGAMP,6-0,2-0,6.1,9.1,4,73,27,4,10,14,0,3,15,91,16,8,11,1,0,0,4,2,6,0,2,15,77,8,18,13,2,0,0,6,0,0,6,2014,french
3068,MARSEILLE,TROYES,6-0,1-0,6.3,8.6,4.4,55,45,6,7,16,3,6,21,89,6,14,8,1,0,0,3,1,6,2,5,21,85,8,16,8,1,0,0,6,0,0,6,2015,french
3100,NICE,BORDEAUX,01-Jun,01-Feb,6.8,8.8,4.3,54,46,5,10,17,2,4,24,84,16,17,14,0,0,0,3,3,6,0,4,15,86,20,31,8,1,0,1,6,1,1,6,2015,french
3365,PSG,CAEN,6-0,2-0,6.5,8.5,4.4,68,32,9,9,21,3,4,18,89,6,14,11,0,0,0,5,8,15,2,3,19,75,11,12,8,0,0,0,6,0,0,6,2015,french
3398,LYON,MONACO,01-Jun,01-Apr,8,9.5,3.7,66,34,5,15,23,3,7,24,87,12,11,9,0,0,0,8,1,11,2,4,24,80,9,19,15,4,1,0,6,1,1,6,2015,french
3507,MONACO,MONTPELLIER,02-Jun,01-Jan,7.6,7.8,4.2,60,40,1,9,14,4,6,19,84,22,22,14,2,0,0,5,3,9,1,2,25,74,9,28,10,0,0,0,6,2,2,6,2016,french
3528,MONACO,NANCY,6-0,2-0,6.8,8.3,3.4,58,42,5,8,16,3,4,21,80,25,19,10,0,0,0,7,1,8,0,6,18,72,12,15,18,1,0,0,6,0,0,6,2016,french
3828,PSG,TOULOUSE,02-Jun,01-Feb,9.4,9.1,3.6,73,27,4,14,23,5,7,25,89,13,17,8,1,1,0,4,1,7,2,1,20,67,9,33,19,4,0,0,6,2,2,6,2017,french
3838,MONACO,MARSEILLE,01-Jun,4-0,6.8,8.5,3.5,47,53,5,8,14,1,1,17,85,9,18,11,2,0,0,6,3,11,2,1,24,84,12,9,14,3,0,0,6,1,1,6,2017,french
3870,PSG,BORDEAUX,02-Jun,01-May,8.8,8.1,4.3,59,41,2,9,11,0,1,15,92,4,24,10,1,0,0,10,6,18,2,5,8,90,6,20,18,2,0,0,6,2,2,6,2017,french
3913,MONACO,GUINGAMP,6-0,4-0,5.7,8.3,3.8,50,50,7,9,18,2,4,30,85,14,13,17,1,0,0,4,3,12,5,1,20,82,18,19,9,1,0,0,6,0,0,6,2017,french
4027,MARSEILLE,FC METZ,03-Jun,3-0,9.5,7.6,4.9,63,37,7,10,18,1,3,23,84,18,20,9,1,0,0,5,8,18,5,5,12,73,16,12,17,0,0,0,6,3,3,6,2017,french
4569,LYON,ANGERS,6-0,3-0,5.9,9.4,3.9,67,33,2,9,11,0,2,14,92,8,10,7,1,0,0,3,3,10,4,5,22,78,6,6,14,2,0,0,6,0,0,6,2019,french
4705,BORDEAUX,NIMES,6-0,2-0,6.1,9.5,3.9,72,28,1,8,12,3,0,11,91,17,20,14,2,0,0,4,1,7,2,6,14,75,19,6,13,1,0,0,6,0,0,6,2019,french
4883,PSG,ANGERS,01-Jun,2-0,6.8,9.2,4.1,57,43,2,12,18,4,6,11,92,6,5,11,1,0,0,5,2,8,1,2,12,88,5,9,9,2,0,0,6,1,1,6,2020,french
5214,BAYERN,W. BREMEN,6-0,2-0,7.5,9.9,3.8,70,30,6,14,27,7,8,29,89,13,6,7,0,0,0,1,2,4,1,1,13,77,9,29,8,1,0,0,6,0,0,6,2016,german
5233,DORTMUND,DARMSTADT,6-0,1-0,7,9.5,3.2,79,21,4,13,22,5,12,21,92,14,8,8,0,0,0,3,1,5,1,2,15,65,19,31,16,5,1,0,6,0,0,6,2016,german
5413,DORTMUND,LEVERKUSEN,02-Jun,2-0,8.7,8.8,3.9,54,46,4,12,20,4,7,27,78,18,16,8,0,0,0,3,3,12,6,3,27,76,14,22,20,6,0,0,6,2,2,6,2016,german
5439,BAYERN,AUGSBURG,6-0,2-0,6.7,9.6,4.1,74,26,8,8,21,5,5,13,90,10,5,6,0,0,0,3,2,6,1,1,16,72,10,34,9,2,0,0,6,0,0,6,2016,german
5571,DORTMUND,M'GLADBACH,01-Jun,3-0,7.2,8.5,4.2,79,21,6,9,18,3,7,20,92,9,2,3,0,0,0,3,5,8,0,0,21,68,3,16,6,1,0,0,6,1,1,6,2017,german
5747,BAYERN,HSV,6-0,3-0,6.1,8.1,3.2,75,25,11,7,18,0,11,28,88,14,8,4,1,0,0,0,0,1,1,1,14,63,8,26,9,2,0,0,6,0,0,6,2017,german
5766,HOFFENHEIM,1. FC Kï¿½ï¿½LN,6-0,1-0,6,9.3,3.7,42,58,4,11,18,3,4,12,79,18,10,14,1,0,0,2,1,4,1,8,12,83,16,16,9,0,0,0,6,0,0,6,2017,german
5767,BAYERN,DORTMUND,6-0,5-0,6.9,9.2,4.1,60,40,6,9,17,2,2,14,91,3,9,5,1,0,0,4,3,9,2,1,17,85,8,10,7,1,0,0,6,0,0,6,2017,german
5887,RB LEIPZIG,Nï¿½ï¿½RNBERG,6-0,4-0,6.1,8.4,3.8,59,41,5,8,19,6,6,21,87,14,12,11,0,0,0,1,0,3,2,1,21,78,9,22,12,1,0,1,6,0,0,6,2018,german
6039,BAYERN,WOLFSBURG,6-0,2-0,6.7,9.8,3.4,60,40,7,12,20,1,7,20,88,8,11,10,0,0,0,2,1,4,1,2,17,79,7,20,8,1,0,0,6,0,0,6,2018,german
6054,BAYERN,MAINZ,6-0,3-0,6.6,10,3.7,70,30,5,11,22,6,13,11,89,5,11,7,1,0,0,2,1,7,4,2,22,78,12,30,7,0,0,0,6,0,0,6,2018,german
6085,AUGSBURG,STUTTGART,6-0,3-0,6.7,8.9,3.7,52,48,9,13,23,1,9,21,81,14,19,14,0,0,0,6,4,13,3,4,19,82,16,24,7,0,0,0,6,0,0,6,2018,german
6108,LEVERKUSEN,FRANKFURT,01-Jun,01-Jun,6,8.9,3.6,81,19,6,10,16,0,1,14,90,12,6,3,0,0,0,1,2,6,3,4,13,62,11,9,12,3,0,0,6,1,1,6,2018,german
6152,BAYERN,MAINZ,01-Jun,01-Feb,6.8,8.7,4.2,67,33,7,10,18,1,10,19,88,14,7,16,3,0,0,1,4,7,2,1,19,77,16,24,13,3,0,0,6,1,1,6,2019,german
6258,BAYERN,W. BREMEN,01-Jun,01-Feb,7.1,8.9,4.2,73,27,9,14,28,5,8,21,89,4,6,15,2,0,0,5,2,10,3,2,10,70,12,40,13,2,0,0,6,1,1,6,2019,german
6425,W. BREMEN,1. FC Kï¿½ï¿½LN,01-Jun,3-0,6.6,8.6,3.9,53,47,4,9,18,5,7,15,83,16,17,22,1,0,0,3,2,6,1,5,20,78,17,11,16,2,0,0,6,1,1,6,2019,german
6721,BAYERN,M'GLADBACH,6-0,4-0,7.1,9.1,4.1,58,42,8,7,22,7,5,14,90,7,14,3,0,0,1,7,3,14,4,3,16,85,4,15,9,2,0,0,6,0,0,6,2020,german
6820,NAPOLI,HELLAS,06-Feb,01-Jan,9.8,8.8,4.1,69,31,7,16,27,4,14,17,91,14,20,11,1,0,0,1,6,8,1,3,9,76,14,49,7,1,0,0,6,2,2,6,2014,italian
7446,NAPOLI,BOLOGNA,6-0,2-0,7.4,10,3.1,61,39,4,14,20,2,8,23,89,12,9,8,1,0,0,2,0,5,3,2,19,81,20,13,13,2,0,0,6,0,0,6,2015,italian
7826,LAZIO,PALERMO,06-Feb,5-0,7.2,8,4.6,59,41,5,7,17,5,5,23,83,16,6,10,1,0,0,3,2,7,2,2,21,76,11,21,8,1,0,0,6,2,2,6,2016,italian
7869,SASSUOLO,CAGLIARI,06-Feb,04-Jan,8.5,8.3,4.2,57,43,1,8,13,4,4,21,84,3,20,13,1,0,0,6,6,14,2,10,18,78,13,15,22,5,0,0,6,2,2,6,2016,italian
7917,NAPOLI,BENEVENTO,6-0,4-0,6.8,9.3,3.2,72,28,5,14,27,8,8,17,92,6,11,6,0,0,0,5,0,6,1,1,20,78,3,20,7,1,0,0,6,0,0,6,2017,italian
7947,LAZIO,SASSUOLO,06-Jan,01-Jan,7.4,8.3,4.2,55,45,6,12,22,4,5,20,86,14,9,13,2,0,0,2,6,8,0,4,11,83,8,32,8,3,0,0,6,1,1,6,2017,italian
8177,LAZIO,BENEVENTO,06-Feb,01-Jan,8.9,8.4,3.2,67,33,9,14,27,4,8,24,88,15,5,14,0,0,0,3,3,6,0,2,9,71,13,30,11,4,0,1,6,2,2,6,2017,italian
8281,FIORENTINA,CHIEVO,06-Jan,2-0,7.3,8.7,3.9,47,53,6,12,22,4,2,13,83,19,27,14,1,0,0,2,3,8,3,3,31,83,8,12,9,3,0,0,6,1,1,6,2018,italian
8926,INTER,BRESCIA,6-0,3-0,6.8,9.3,3.3,61,39,11,9,21,1,4,17,88,16,15,13,2,0,0,3,1,8,4,4,18,78,5,25,10,2,0,0,6,0,0,6,2019,italian
8963,ATALANTA,BRESCIA,06-Feb,04-Jan,7.1,8.4,4.7,69,31,6,7,14,1,1,18,91,15,9,11,0,0,0,1,4,6,1,1,27,74,7,13,10,0,0,0,6,2,2,6,2019,italian
9039,NAPOLI,GENOA,6-0,1-0,6.1,9.2,3.9,57,43,9,9,18,0,4,13,93,8,7,6,1,0,0,2,0,6,4,2,17,88,3,14,13,2,0,0,6,0,0,6,2020,italian
9162,INTER,CROTONE,06-Feb,02-Feb,7.8,7.7,4.2,48,52,6,8,16,2,3,15,85,10,3,9,0,0,0,3,3,9,3,3,10,87,8,14,7,3,0,0,6,2,2,6,2020,italian
9193,NAPOLI,FIORENTINA,6-0,4-0,6.3,9.3,3.9,49,51,3,7,10,0,1,12,87,4,13,11,1,0,0,5,2,10,3,4,22,86,12,5,15,0,0,0,6,0,0,6,2020,italian
9454,BARCELONA,GRANADA,6-0,3-0,7,10,3.7,69,31,5,12,19,2,8,20,89,6,9,11,1,0,0,6,1,9,2,1,23,79,7,26,11,3,0,0,6,0,0,6,2014,spanish
9657,BARCELONA,RAYO VALLECANO,01-Jun,1-0,7.8,8.2,3.9,57,43,5,12,19,2,4,30,85,13,18,13,3,0,1,3,3,7,1,1,12,80,3,19,11,3,1,0,6,1,1,6,2014,spanish
9705,CELTA,RAYO VALLECANO,01-Jun,01-Apr,6.5,8.3,4.6,50,50,5,10,17,2,3,30,79,16,22,16,1,0,0,6,4,12,2,4,15,80,23,19,3,1,0,0,6,1,1,6,2014,spanish
9732,BARCELONA,GETAFE,6-0,5-0,6.6,9.6,4.1,73,27,7,12,21,2,5,13,90,6,11,11,0,0,0,3,3,7,1,6,13,75,7,14,5,0,0,0,6,0,0,6,2014,spanish
9980,BARCELONA,ATHLETIC,6-0,2-0,6.2,9,3.4,76,24,10,8,20,2,6,12,87,4,8,6,2,0,0,3,3,9,3,2,14,62,12,22,7,2,0,1,6,0,0,6,2015,spanish
10000,REAL MADRID,ESPANYOL,6-0,4-0,7,8.7,3.8,68,32,7,7,18,4,3,18,89,12,7,20,1,0,0,6,5,15,4,1,15,77,7,22,20,5,0,0,6,0,0,6,2015,spanish
10021,BARCELONA,CELTA,01-Jun,01-Jan,7.5,8.7,4.2,63,37,9,11,20,0,1,28,82,7,3,10,0,0,0,6,4,10,0,1,11,70,9,15,16,4,0,0,6,1,1,6,2015,spanish
10063,BARCELONA,GETAFE,6-0,4-0,6.4,9.2,3.7,70,30,6,9,16,1,5,16,90,6,8,7,0,0,0,4,1,6,1,3,14,76,5,16,13,3,0,0,6,0,0,6,2015,spanish
10125,BARCELONA,GIJï¿½ï¿½N,6-0,1-0,6.7,8.8,3.2,72,28,11,10,24,3,6,32,89,15,9,11,0,0,0,1,3,5,1,1,11,68,6,23,11,3,1,0,6,0,0,6,2015,spanish
10164,BARCELONA,REAL BETIS,02-Jun,01-Mar,8.7,8.8,4,73,27,6,12,30,12,10,16,89,8,8,17,1,0,0,3,2,6,1,2,11,71,9,28,13,3,0,0,6,2,2,6,2016,spanish
10166,SEVILLA FC,ESPANYOL,04-Jun,03-Mar,9.8,7.4,5.7,74,26,2,11,16,3,8,26,84,17,11,8,2,0,0,1,7,10,2,2,22,68,5,26,15,2,0,0,6,4,4,6,2016,spanish
10405,BARCELONA,GIJï¿½ï¿½N,01-Jun,01-Mar,7.2,8.6,3.7,74,26,7,10,25,8,10,25,89,10,7,14,1,0,0,2,2,5,1,3,5,67,6,29,12,3,0,0,6,1,1,6,2016,spanish
10583,BARCELONA,EIBAR,01-Jun,2-0,7.5,8.8,4.3,61,39,1,10,11,0,7,24,86,6,13,4,0,0,0,6,4,13,3,7,15,78,12,16,9,2,0,0,6,1,1,6,2017,spanish
10723,GIRONA,LAS PALMAS,6-0,1-0,5.1,9.1,3.4,43,57,4,8,15,3,5,14,72,19,20,25,2,0,0,1,1,3,1,2,14,77,11,24,20,5,0,0,6,0,0,6,2017,spanish
10786,BARCELONA,GIRONA,01-Jun,01-Apr,7.3,8.5,4.3,62,38,5,14,21,2,5,21,88,10,13,11,1,0,0,4,4,10,2,3,16,76,6,14,11,1,0,0,6,1,1,6,2017,spanish
10831,REAL MADRID,GIRONA,03-Jun,01-Jan,10,7.9,4.6,65,35,4,14,20,2,6,13,91,9,19,13,1,0,0,4,6,10,0,7,19,84,11,19,13,2,0,0,6,3,3,6,2017,spanish
10909,REAL MADRID,CELTA,6-0,3-0,6.4,9.5,3.5,57,43,2,10,15,3,4,23,90,8,8,5,0,0,0,3,1,5,1,2,17,84,7,17,10,1,0,0,6,0,0,6,2017,spanish
11599,CELTA,ALAVï¿½ï¿½S,6-0,4-0,6.5,9.3,3.4,73,27,2,10,15,3,7,18,90,16,13,14,1,0,0,2,2,4,0,4,14,74,11,18,10,1,0,1,6,0,0,6,2019,spanish
11708,ATLETICO MADRID,GRANADA,01-Jun,1-0,8.2,7.9,4.3,55,45,7,10,17,0,1,20,84,20,21,16,3,0,0,3,6,11,2,1,17,75,22,12,14,1,0,0,6,1,1,6,2020,spanish
46,LEICESTER CITY,MAN UTD,03-May,02-Jan,9.4,7.6,5.2,43,57,6,5,15,4,2,32,76,23,33,11,1,0,0,7,5,16,4,4,23,84,18,44,9,1,0,1,5,3,3,5,2014,english
199,TOTTENHAM,CHELSEA,03-May,01-Mar,10,7.8,5.7,46,54,2,8,11,1,5,23,76,18,33,14,3,0,0,9,7,19,3,3,32,77,16,14,10,1,0,0,5,3,3,5,2014,english
228,ARSENAL,ASTON VILLA,5-0,1-0,6.7,9.4,4.4,48,52,3,8,13,2,7,14,83,25,25,6,0,0,0,5,2,9,2,7,20,85,13,18,10,2,0,0,5,0,0,5,2014,english
256,MAN CITY,NEWCASTLE,5-0,3-0,5.9,9.8,3.9,57,43,6,9,16,1,7,19,88,13,22,9,3,0,0,5,1,8,2,3,20,87,1,17,8,2,0,0,5,0,0,5,2014,english
375,LEICESTER CITY,QPR,01-May,2-0,6.1,8.5,4.5,46,54,13,7,22,2,5,20,71,30,25,7,0,0,0,9,2,18,7,6,21,73,22,25,6,0,0,0,5,1,1,5,2014,english
461,MAN CITY,BOURNEMOUTH,01-May,01-Apr,6.4,8.6,4.7,54,46,5,11,16,0,1,28,83,19,29,11,2,0,0,3,1,5,1,7,25,79,14,14,5,1,0,0,5,1,1,5,2015,english
513,CRYSTAL PALACE,NEWCASTLE,01-May,01-Mar,6.2,8.3,4.6,54,46,6,8,19,5,7,25,84,17,17,7,1,0,0,1,2,7,4,5,19,74,13,21,13,1,0,0,5,1,1,5,2015,english
636,CHELSEA,NEWCASTLE,01-May,3-0,6.5,8.4,4.9,55,45,4,7,14,3,8,15,84,12,19,11,0,0,0,2,3,10,5,5,23,81,6,16,16,2,0,0,5,1,1,5,2015,english
751,NEWCASTLE,TOTTENHAM,01-May,2-0,8.6,8.6,4.5,38,62,3,10,19,6,3,11,81,6,35,7,1,0,1,7,5,18,6,8,26,89,5,11,6,2,0,0,5,1,1,5,2015,english
811,LIVERPOOL,HULL CITY,01-May,3-0,6.9,9.2,3.8,74,26,9,12,32,11,13,17,91,9,7,8,1,0,0,1,1,2,0,2,16,72,8,27,8,2,0,1,5,1,1,5,2016,english
864,CHELSEA,EVERTON,5-0,3-0,5.9,9,4.3,60,40,5,9,21,7,4,19,90,8,14,5,0,0,0,1,0,1,0,2,15,82,18,25,16,3,0,0,5,0,0,5,2016,english
882,SWANSEA,CRYSTAL PALACE,04-May,01-Jan,10,7.2,4.8,56,44,7,9,18,2,10,17,79,21,33,12,4,0,0,4,4,12,4,6,22,70,33,35,24,5,0,0,5,4,4,5,2016,english
893,TOTTENHAM,SWANSEA,5-0,2-0,6.4,8.9,4.1,60,40,7,15,28,6,5,25,85,14,27,11,0,0,0,0,0,1,1,0,22,73,12,39,17,4,0,0,5,0,0,5,2016,english
1111,MAN CITY,CRYSTAL PALACE,5-0,1-0,7.2,9.7,4.1,69,31,10,12,26,4,9,13,88,14,26,12,1,0,0,2,2,5,1,3,15,71,12,19,8,3,0,0,5,0,0,5,2016,english
